report_ticker,pnl_gross,pnl_net,fees_taker,fees_maker,contracts_settled,n_days
KXSAUDIPLGAME,-119099.66,-235035.7,115936.04,0.0,13084404,33
KXNCAABASEBALL,-27898.31,-125836.85,97938.54,0.0,13077418,69
KXJBLEAGUEGAME,-131744.54,-272947.96,141203.42,0.0,12924216,33
KXARGPREMDIVTOTAL,-96752.88,-227216.26,130463.38,0.0,12843168,26
KXEUROLEAGUEGAME,-85149.31,-205005.26,119855.95,0.0,12603941,35
KXFIBAGAME,-155857.61,-255868.99,100011.38,0.0,12550416,12
KXUCLADVANCE,-461360.02,-574152.75,112792.73,0.0,12416181,12
KXNBA3PT,-635594.61,-788178.06,152583.45,0.0,12369267,60
KXKLEAGUEGAME,-181538.73,-313408.1,131869.37,0.0,12320672,55
KXLPLMATCH,-158749.96,-275943.95,117193.99,0.0,12210750,13
KXNBAMVP,-131152.81,-145092.41,13939.6,3600.64,12198230,33
KXUECLTOTAL,-46529.46,-176093.43,129563.97,0.0,12151015,30
KXUSAIRANAGREEMENT,-378681.26,-471071.81,92390.56,0.0,11883003,108
KXBBLGAME,-89044.72,-211324.95,122280.23,0.0,11667886,62
KXWCMESSIMBAPPE,-94711.56,-164054.62,69343.06,0.0,11555248,33
KXNHLGOAL,-69466.32,-168822.82,99356.5,0.0,11539055,51
KXCHLLDPGAME,-72418.73,-184826.05,112407.32,0.0,11427762,49
KXACBGAME,-31601.1,-150076.7,118475.6,0.0,11352987,55
KXWNBA1HSPREAD,-242311.48,-378536.62,136225.14,0.0,11213090,81
KXZEC15M,-113224.48,-187818.54,74594.05,0.0,11175766,37
KXDPWORLDTOUR,-194022.77,-251437.24,57414.46,0.0,11072375,60
KXLIGAPORTUGALGAME,-121486.5,-211030.68,89544.18,0.0,11042517,38
KXETH,-64041.63,-176690.88,112649.25,0.0,10977911,113
KXWNBA1HTOTAL,-116145.37,-250939.74,134794.37,0.0,10955533,81
KXWNBA1HWINNER,-222655.73,-341705.7,119049.97,0.0,10952744,81
