row_label,ALL_PARLAYS,Multi-game sports,Cross-category,NFL single game,NFL multi-game,NFL prepack,NBA single game,NCAAF prepack,CBB championship,Other,fees_ALL_PARLAYS,fees_Multi-game sports,fees_Cross-category,fees_NFL single game,fees_NFL multi-game,fees_NFL prepack,fees_NBA single game,fees_NCAAF prepack,fees_CBB championship,fees_Other,net_pnl_ALL_PARLAYS,net_pnl_Multi-game sports,net_pnl_Cross-category,net_pnl_NFL single game,net_pnl_NFL multi-game,net_pnl_NFL prepack,net_pnl_NBA single game,net_pnl_NCAAF prepack,net_pnl_CBB championship,net_pnl_Other,net_pnl_pct_ALL_PARLAYS,net_pnl_pct_Multi-game sports,net_pnl_pct_Cross-category,net_pnl_pct_NFL single game,net_pnl_pct_NFL multi-game,net_pnl_pct_NFL prepack,net_pnl_pct_NBA single game,net_pnl_pct_NCAAF prepack,net_pnl_pct_CBB championship,net_pnl_pct_Other
2025-10-05,611326.89,0,0,215414.23,395912.66,0,0,0,0,0,23471.97,0,0,11036.53,12435.44,0,0,0,0,0,-267816.86,0,0,-86135.76,-181681.1,0,0,0,0,0,-43.81,,,-39.99,-45.89,,,,,
2025-10-06,62037.07,0,0,20808.97,41228.1,0,0,0,0,0,3387.49,0,0,1163.17,2224.32,0,0,0,0,0,-39318.56,0,0,-9932.14,-29386.42,0,0,0,0,0,-63.38,,,-47.73,-71.28,,,,,
2025-10-09,131826.21,0,0,95040.57,36785.64,0,0,0,0,0,6219.76,0,0,4671.57,1548.19,0,0,0,0,0,-45260.97,0,0,-34962.14,-10298.83,0,0,0,0,0,-34.33,,,-36.79,-28,,,,,
2025-10-10,31510.92,0,0,8117.02,23393.9,0,0,0,0,0,1721.59,0,0,400.5,1321.09,0,0,0,0,0,-11776.51,0,0,-4976.52,-6799.99,0,0,0,0,0,-37.37,,,-61.31,-29.07,,,,,
2025-10-11,70613.75,0,0,20011.3,50602.45,0,0,0,0,0,3943.12,0,0,1132.24,2810.88,0,0,0,0,0,-32560.58,0,0,-12521.25,-20039.33,0,0,0,0,0,-46.11,,,-62.57,-39.6,,,,,
2025-10-12,737610,0,0,376237.66,361372.34,0,0,0,0,0,35007.01,0,0,18912.99,16094.02,0,0,0,0,0,-185949.01,0,0,-149907.65,-36041.36,0,0,0,0,0,-25.21,,,-39.84,-9.97,,,,,
2025-10-13,316731.1,0,0,167671.88,149059.22,0,0,0,0,0,14227.29,0,0,7626.68,6600.61,0,0,0,0,0,-96234.17,0,0,-49808.74,-46425.43,0,0,0,0,0,-30.38,,,-29.71,-31.15,,,,,
2025-10-14,25951.61,0,0,4722.07,21229.54,0,0,0,0,0,1377.61,0,0,210.85,1166.76,0,0,0,0,0,806.78,0,0,-455.92,1262.7,0,0,0,0,0,3.11,,,-9.66,5.95,,,,,
2025-10-15,55376.69,0,0,24175.84,31200.85,0,0,0,0,0,2866.28,0,0,1227.33,1638.95,0,0,0,0,0,9217.03,0,0,7305.83,1911.2,0,0,0,0,0,16.64,,,30.22,6.13,,,,,
2025-10-16,262280.08,0,0,171340.79,90939.29,0,0,0,0,0,12787.8,0,0,8592.4,4195.4,0,0,0,0,0,54862.12,0,0,38755.81,16106.31,0,0,0,0,0,20.92,,,22.62,17.71,,,,,
