group,price_bin,n_trades,n_contracts,sum_price,yes_trades,yes_contracts,actual_win_rate,actual_win_rate_wt,implied_prob,calib_error
PARLAY,0,17867742,18662003214,30491642.999998193,251792,148260314,0.014091987672532993,0.007944501578950377,0.025,-0.017055498421049625
PARLAY,5,8997405,2922519603,62991248.80000159,540844,176688094,0.06011110981444094,0.060457453841756145,0.075,-0.014542546158243852
PARLAY,10,6336452,1591070438,76403874.30000083,665243,169645338,0.10498667077411776,0.10662339890699421,0.125,-0.01837660109300579
PARLAY,15,5258200,1139251838,89719825.2000005,812498,178483155,0.15452017800768325,0.15666698884886943,0.175,-0.018333011151130563
PARLAY,20,4498512,908524699,99362752.10000129,905263,183201454,0.20123609762517028,0.2016471915421201,0.225,-0.023352808457879903
PARLAY,25,3885278,760659617,105216437.29999994,979295,192350537,0.25205274886378787,0.25287333874594264,0.275,-0.022126661254057378
PARLAY,30,3238956,610374433,103691489.10000148,948443,181746352,0.2928236752830233,0.2977620656663383,0.325,-0.02723793433366173
PARLAY,35,2687919,490084790,99605109.79999943,931482,168052414,0.3465439248727361,0.3429047736821214,0.375,-0.03209522631787859
PARLAY,40,2197788,400728486,92537229.90000033,927446,166559412,0.42199065605963815,0.4156415573611106,0.425,-0.009358442638889408
PARLAY,45,1864974,364761625,87624079.50000072,857298,165532761,0.4596836202542234,0.4538107894436538,0.475,-0.021189210556346205
PARLAY,50,1270556,269729081,66052979.20000045,638424,134848863,0.5024760813376191,0.4999418768642155,0.525,-0.025058123135784538
PARLAY,55,878346,190156045,50086401.10000008,502924,107211128,0.5725807369760891,0.5638060467654341,0.575,-0.011193953234565845
PARLAY,60,660952,147236677,41016336.000000045,404315,88878133,0.6117161306721214,0.6036412584888751,0.625,-0.021358741511124935
PARLAY,65,525517,124204137,35272600.70000014,361269,84225825,0.6874544496181855,0.6781241513718661,0.675,0.0031241513718660574
PARLAY,70,440999,114659335,31845053.4,313895,80995636,0.7117816593688421,0.7064024573315378,0.725,-0.01859754266846214
PARLAY,75,413743,110788931,31921419.799999997,317029,84295287,0.7662461963102699,0.7608637996516096,0.775,-0.01413620034839047
PARLAY,80,408272,120668142,33555103.09999987,331255,97414311,0.8113586040678763,0.8072910495298751,0.825,-0.017708950470124885
PARLAY,85,451792,147897331,39417858.90000003,389091,127608444,0.8612171087580125,0.8628177610588523,0.875,-0.012182238941147672
PARLAY,90,539178,202856072,49775975.80000004,488647,184251726,0.9062814135591586,0.9082879510749868,0.925,-0.016712048925013212
PARLAY,95,738614,382140563,71915553.10000095,708261,369582004,0.9589054634761864,0.9671362838286288,0.975,-0.00786371617137116
NON_PARLAY,0,40795129,11733168740,88011480.69999781,551830,138333562,0.013526860032725966,0.011789957603558679,0.025,-0.013210042396441322
NON_PARLAY,5,36568990,5956169281,255491400.69999033,1981616,312325516,0.05418842576729628,0.05243731352571005,0.075,-0.022562686474289946
NON_PARLAY,10,32641295,4660203559,391165961.8,3343417,481068745,0.10242905497468774,0.10322912699187525,0.125,-0.021770873008124747
NON_PARLAY,15,31709961,4198192039,538525809.2,4859404,661220811,0.15324534773158505,0.1575013255366711,0.175,-0.017498674463328895
NON_PARLAY,20,31511011,3998678178,693365927.7,6544827,866828149,0.20769968313615833,0.2167786729547606,0.225,-0.008221327045239396
NON_PARLAY,25,32626642,4063526180,881874055.8,8233654,1044193436,0.2523598352536556,0.2569673209291345,0.275,-0.01803267907086553
NON_PARLAY,30,34376173,4234346087,1100030351.5,10585637,1329020694,0.30793529576430745,0.31386680887522833,0.325,-0.01113319112477168
NON_PARLAY,35,35691646,4397218389,1321742163.7,12633822,1573023547,0.35397140271984096,0.3577315038377549,0.375,-0.017268496162245073
NON_PARLAY,40,38006000,4738720155,1597305839.0,15594934,1927241870,0.4103282113350524,0.4067009249251605,0.425,-0.018299075074839466
NON_PARLAY,45,44313716,5877536295,2085354237.7,20508836,2742495650,0.46281011504429015,0.4666063316925889,0.475,-0.008393668307411062
