date,report_ticker,side,contracts_settled,notional_settled
2026-04-15,KXPOLITICSMENTION,yes,164654,63526.54
2026-04-15,KXPOLITICSMENTION,no,52608,19513.37
2026-04-15,KXPM,yes,13138,1622.83
2026-04-15,KXNEWGLENN,yes,1119,887.92
2026-04-15,KXPM,no,16478,14415.43
2026-04-15,KXPLTR,no,10510,8955.03
2026-04-15,KXPGATOUR,yes,6076861,140800.21
2026-04-15,KXPGATOUR,no,213213,207349.85
2026-04-15,KXPGATOP5,yes,107693,15180.9
2026-04-15,KXPGATOP5,no,21603,18489.33
2026-04-15,KXPGATOP20,yes,253832,93259.01
2026-04-15,KXPGATOP20,no,39434,24904.71
2026-04-15,KXPGATOP10,yes,120251,26665.23
2026-04-15,KXPGATOP10,no,19720,10949.92
2026-04-15,KXPGAROUNDSCORE,yes,8934,4889.76
2026-04-15,KXPGAROUNDSCORE,no,1929,887.59
2026-04-15,KXPGAR3LEAD,yes,156,16.46
2026-04-15,KXPLTR,yes,5724,2574.24
2026-04-15,KXNEWGLENN,no,775,174.91
2026-04-15,KXNEWDEAL,yes,24,5.04
2026-04-15,KXNEWARKMAYOR,yes,100,94.0
2026-04-15,KXNASDAQ100,yes,6881,911.51
2026-04-15,KXNASDAQ100,no,1524,1297.8
2026-04-15,KXNASCARTOP5,yes,1878,559.76
2026-04-15,KXNASCARTOP3,yes,470,87.6
2026-04-15,KXNASCARTOP20,yes,1386,561.35
2026-04-15,KXNASCARTOP20,no,408,180.36
2026-04-15,KXNASCARTOP10,yes,9335,3299.53
2026-04-15,KXNASCARTOP10,no,2107,757.17
2026-04-15,KXNASCARRACE,yes,87134,7462.8
2026-04-15,KXNASCARRACE,no,738,675.89
2026-04-15,KXNASCARCUPSERIES,yes,11886,300.75
2026-04-15,KXMVESPORTSMULTIGAMEEXTENDED,yes,50503704,4401907.92
2026-04-15,KXMVESPORTSMULTIGAMEEXTENDED,no,1289067,922654.2
2026-04-15,KXMVENBASINGLEGAME,yes,305897,38647.9
2026-04-15,KXMVENBASINGLEGAME,no,5913,3867.31
2026-04-15,KXMVECROSSCATEGORY,yes,34201689,3974095.64
2026-04-15,KXMVECROSSCATEGORY,no,798645,515763.17
2026-04-15,KXMUSKWEALTH,yes,789,502.33
2026-04-15,KXMUSKWEALTH,no,16,4.48
2026-04-15,KXMUSKTRILLION,yes,245,199.43
2026-04-15,KXMUSKTRILLION,no,16,3.05
2026-04-15,KXMUSKOAI,yes,936,365.74
2026-04-15,KXMUSKOAI,no,399,258.02
2026-04-15,KXMUSKNW,yes,1172,380.78
2026-04-15,KXMUSKNW,no,189,142.33
2026-04-15,KXNASDAQ100MAXY,no,426,202.29
2026-04-15,KXMTCH,yes,13318,3248.02
2026-04-15,KXNASDAQ100MAXY,yes,17603,14590.23
2026-04-15,KXNASDAQ100U,no,42189,16681.69
2026-04-15,KXNBA2HTOTAL,no,1214,1149.08
2026-04-15,KXNBA2HSPREAD,yes,1685,299.56
2026-04-15,KXNBA2HSPREAD,no,478,418.21
2026-04-15,KXNBA2D,yes,60593,9943.39
2026-04-15,KXNBA2D,no,2035,1723.54
