date,kalshi_category,pnl_gross,pnl_net,fees_taker,fees_maker,contracts_settled
2026-03-03,Non-parlay sports,-2715248.43,-5366227.68,2650979.25,500042.04,233526899
2026-03-03,Other non-sports,-1010.55,-1106.02,95.47,0.0,51405
2026-03-03,Parlays,1123868.54,811832.1,312036.44,0.0,42690143
2026-03-03,Politics,-113954.79,-177843.08,63888.29,0.0,13593698
2026-03-03,Science and Technology,361.25,49.1,312.15,27.89,92267
2026-03-04,Climate and Weather,6547.1,-11436.83,17983.93,0.0,3180042
2026-03-04,Companies,-151.38,-173.97,22.59,0.0,1881
2026-03-04,Crypto,-83805.45,-531920.97,448115.52,0.0,45691712
2026-03-04,Economics,8681.6,4007.99,4673.61,877.98,1549164
2026-03-04,Elections,820.01,19.89,800.12,0.0,209031
2026-03-04,Entertainment,-107085.67,-120328.76,13243.09,0.0,2200212
2026-03-04,Financials,6828.23,3281.15,3547.08,0.0,582729
2026-03-04,Mentions,-95117.35,-132581.73,37464.38,0.0,5927160
2026-03-04,Non-parlay sports,-1806048.55,-4869517.12,3063468.57,570645.69,266169093
2026-03-04,Other non-sports,-279.52,-358.42,78.9,0.0,71547
2026-03-04,Parlays,-792439.93,-1112093.14,319653.21,0.0,43051656
2026-03-04,Politics,141656.79,106621.76,35035.03,0.0,15099682
2026-03-04,Science and Technology,-1262.98,-1416.67,153.69,32.13,64985
2026-03-05,Climate and Weather,-24037.22,-38589.75,14552.53,0.0,2720557
2026-03-05,Companies,-474.43,-630.46,156.03,0.26,14956
2026-03-05,Crypto,-501033.6,-878055.29,377021.69,0.0,36954029
2026-03-05,Economics,-24678.32,-31354.83,6676.51,1023.03,1068253
2026-03-05,Elections,-3831.16,-4359.15,527.99,0.0,134838
2026-03-05,Entertainment,1960.76,-9083.44,11044.2,0.0,1946698
2026-03-05,Financials,-5955.73,-10315.81,4360.08,0.0,757955
2026-03-05,Mentions,24543.08,-4448.77,28991.85,0.0,4260509
2026-03-05,Non-parlay sports,-1607714.75,-4600143.72,2992428.97,572215.98,272332042
2026-03-05,Other non-sports,-200.07,-219.76,19.69,0.0,5477
2026-03-05,Parlays,-942390.49,-1240370.18,297979.69,0.0,40281646
2026-03-05,Politics,-55269.25,-76803.76,21534.51,0.0,3464400
