market_key,market_name,kalshi_category,contracts,fees_total,n_outcomes,winner,winner_ticker,report_ticker,is_sports,top_outcome,i.market_name,i.fees_total,i.winner,i.winner_ticker
KXNCAAFGAME-25OCT11BYUARIZ,KXNCAAFGAME-25OCT11BYUARIZ,Sports,17420360,249063.42,2,"",KXNCAAFGAME-25OCT11BYUARIZ-BYU,KXNCAAFGAME,TRUE,KXNCAAFGAME-25OCT11BYUARIZ-BYU,KXNCAAFGAME-25OCT11BYUARIZ,249063.42,"",KXNCAAFGAME-25OCT11BYUARIZ-BYU
KXNFLGAME-25SEP28BALKC,KXNFLGAME-25SEP28BALKC,Sports,17370482,222611.669999996,2,"",KXNFLGAME-25SEP28BALKC-KC,KXNFLGAME,TRUE,KXNFLGAME-25SEP28BALKC-KC,KXNFLGAME-25SEP28BALKC,222611.669999996,"",KXNFLGAME-25SEP28BALKC-KC
KXNCAAFGAME-25SEP19IOWARUTG,KXNCAAFGAME-25SEP19IOWARUTG,Sports,17327687,259583.829999997,2,"",KXNCAAFGAME-25SEP19IOWARUTG-IOWA,KXNCAAFGAME,TRUE,KXNCAAFGAME-25SEP19IOWARUTG-IOWA,KXNCAAFGAME-25SEP19IOWARUTG,259583.829999997,"",KXNCAAFGAME-25SEP19IOWARUTG-IOWA
KXNBAGAME-26MAR18LALHOU,KXNBAGAME-26MAR18LALHOU,Sports,17318992,321777.529999994,2,"",KXNBAGAME-26MAR18LALHOU-LAL,KXNBAGAME,TRUE,KXNBAGAME-26MAR18LALHOU-LAL,KXNBAGAME-26MAR18LALHOU,321777.529999994,"",KXNBAGAME-26MAR18LALHOU-LAL
KXNCAAFGAME-25OCT11ALAMIZZ,KXNCAAFGAME-25OCT11ALAMIZZ,Sports,17280826,217605.329999999,2,"",KXNCAAFGAME-25OCT11ALAMIZZ-ALA,KXNCAAFGAME,TRUE,KXNCAAFGAME-25OCT11ALAMIZZ-ALA,KXNCAAFGAME-25OCT11ALAMIZZ,217605.329999999,"",KXNCAAFGAME-25OCT11ALAMIZZ-ALA
KXNFLGAME-25DEC20PHIWAS,KXNFLGAME-25DEC20PHIWAS,Sports,17234501,201888.130000002,2,"",KXNFLGAME-25DEC20PHIWAS-PHI,KXNFLGAME,TRUE,KXNFLGAME-25DEC20PHIWAS-PHI,KXNFLGAME-25DEC20PHIWAS,201888.130000002,"",KXNFLGAME-25DEC20PHIWAS-PHI
KXNFLGAME-25NOV23NYGDET,KXNFLGAME-25NOV23NYGDET,Sports,17200204,219945.15,2,"",KXNFLGAME-25NOV23NYGDET-DET,KXNFLGAME,TRUE,KXNFLGAME-25NOV23NYGDET-DET,KXNFLGAME-25NOV23NYGDET,219945.15,"",KXNFLGAME-25NOV23NYGDET-DET
KXNCAAFGAME-25SEP19TLSAOKST,KXNCAAFGAME-25SEP19TLSAOKST,Sports,17116755,183591.489999999,2,"",KXNCAAFGAME-25SEP19TLSAOKST-TLSA,KXNCAAFGAME,TRUE,KXNCAAFGAME-25SEP19TLSAOKST-OKST,KXNCAAFGAME-25SEP19TLSAOKST,183591.489999999,"",KXNCAAFGAME-25SEP19TLSAOKST-TLSA
KXNBAGAME-25JUN08INDOKC,KXNBAGAME-25JUN08INDOKC,Sports,17108169,252547.320000006,1,"",KXNBAGAME-25JUN08INDOKC-OKC,KXNBAGAME,TRUE,KXNBAGAME-25JUN08INDOKC-IND,KXNBAGAME-25JUN08INDOKC,195774.849999998,"",KXNBAGAME-25JUN08INDOKC-OKC
PRESPARTYPA-24,Pennsylvania in the presidential election,Politics,17082688,0,2,:: or another Republican,PRESPARTYPA-24-R,PRESPARTYPA,FALSE,PRESPARTYPA-24-R,Pennsylvania in the presidential election,186839.069999999,:: or another Republican,PRESPARTYPA-24-R
