group,price_bin,n_trades,n_contracts,sum_price,yes_trades,yes_contracts,actual_win_rate,actual_win_rate_wt,implied_prob,calib_error,calib_error_qty,n_events,n_contracts_distinct,n_settle_days,g_eff,se_event_cents,se_event_cents_qty,se_day_cents,se_naive_cents,significant_2se
WEATHER,30,193140,12217478,6161601,60890,4019826,0.31526353940147045,0.3290225691423385,0.3190225225225225,-0.0037589831210525417,0.01024753963133795,6937,20332,262,2170.2350782686644,0.7879529373271342,1.116904882253445,0.6735833184480037,0.10566864534701309,0
WEATHER,35,183021,11537301,6750983,64671,4219864,0.35335289393020475,0.36575833463996477,0.36886384622529655,-0.015510952295094207,-0.0030007997537725285,6850,19243,262,2095.0480636557327,0.8334388807573516,1.1235424857378498,0.724931352746092,0.11172113016343138,0
WEATHER,40,172951,10835640,7234657,69352,4487481,0.40099218853895036,0.4141408352436958,0.41830674584130767,-0.017314557302355062,-0.0039580735424954655,6852,18867,263,2091.1238605780795,0.8411404458688914,1.1397556491970298,0.8385840430212279,0.11780332956849252,1
WEATHER,45,163411,10067666,7665263,72227,4478485,0.4419959488651315,0.4448384561029339,0.4690787645874513,-0.02708281572233173,-0.024195014018144567,6813,18305,262,2169.725001647415,0.862214449593107,1.1121946071586817,0.8137978779789328,0.12280224874666253,1
WEATHER,50,166722,10619979,8639702,82389,5313487,0.494169935581387,0.5003293321013158,0.5182100742553473,-0.024040138673954537,-0.017866846064384965,6757,18408,262,2271.855544309161,0.8559487231706955,1.1456421248064068,0.8253399059533758,0.12235006801642806,1
WEATHER,55,157911,9765397,8984525,84014,5178515,0.5320338671783473,0.5302923168407797,0.5689613136513606,-0.03692744647300133,-0.03870294981351048,6695,17621,262,2192.905327361854,0.8793022847752489,1.1419538580874224,0.8282861106541919,0.1255342715217316,1
WEATHER,60,163194,10211687,10098408,94375,5876927,0.5782994472836012,0.5755099035056598,0.6187977499172763,-0.04049830263367202,-0.04326640152601669,6700,17732,263,2176.763348963057,0.8816477829629329,1.1633522184208092,0.9346200415638449,0.12221111319216313,1
WEATHER,65,165436,10292633,11070432,104467,6382916,0.6314647356077274,0.6201441361020061,0.6691670494934597,-0.037702313885743556,-0.049083021807928194,6722,17963,262,2176.6284745125404,0.8623159136883853,1.1236277145680935,0.9570821392794221,0.11857003489798991,1
WEATHER,70,162830,10617698,11709580,110345,7083577,0.6776699625376159,0.6671480955664778,0.7191291531044648,-0.041459190566863924,-0.05189798014597958,6659,17890,262,2052.3160923027954,0.8630123380632531,1.1570764473077295,0.9305487492286992,0.11579162789493327,1
WEATHER,75,167488,11058777,12880312,122668,8065613,0.7323987390141383,0.7293404144056798,0.7690289453572793,-0.036630206343131876,-0.039640105772997786,6632,18411,262,2017.6049289801988,0.8222016268734864,1.0788198063079186,0.9010147207055391,0.10808660104045188,1
WEATHER,80,168121,11481008,13760469,133048,9000922,0.7913823972020152,0.7839836014398736,0.8184860308944153,-0.027103633692393412,-0.034887495941122816,6650,18842,263,1891.9385370850714,0.7541164584475146,1.093327719909142,0.8282197893708638,0.09899903749909231,1
WEATHER,85,169982,12399064,14777300,143732,10340327,0.8455718840818439,0.8339602892605442,0.8693449894694733,-0.023773105387630698,-0.03543115593241574,6611,19732,262,1899.4511017177567,0.6322072437475815,0.9231484605246442,0.7132269954237651,0.08758859350998766,1
WEATHER,90,163855,14831522,15057953,147053,13361452,0.8974581184583931,0.9008820537770837,0.9189803789936224,-0.021522260535227836,-0.018953427706205738,6607,20713,262,1735.3766118840101,0.5321581648676931,0.7485251766133318,0.549489262556291,0.07480520298033863,1
WEATHER,95,206862,36994926,20156326,201249,36172286,0.972865968616759,0.9777634370724245,0.9743851456526573,-0.0015191770358981265,0.00041657199152131093,6866,25108,262,1670.2811055547688,0.231950498236384,0.45496201715769946,0.2251123211321625,0.035518973184044525,0
NON_WEATHER_EX_ELECTION,0,32408,13595419,95796,932,150843,0.02875833127622809,0.011095134324289675,0.02955936805726981,-0.0008010367810418343,-0.016774736402019146,2163,5052,414,73.60306286964345,0.45252825254347767,0.5157103713848564,0.5754424279672321,0.09287247896239682,0
NON_WEATHER_EX_ELECTION,5,66716,22018822,471627,3439,373957,0.05154685532705798,0.016983515285240964,0.0706917381137958,-0.01914488278673642,-0.05346962612259584,2545,6244,442,60.88894044637707,1.0373981922309083,0.7117279636136618,1.1527117280865136,0.0856345266322695,0
NON_WEATHER_EX_ELECTION,10,70832,23564551,848075,4771,597000,0.06735656200587305,0.02533466476827842,0.11973048904449966,-0.05237392703862723,-0.09393176386004531,2469,5809,447,32.227689126233216,1.3783867069677318,1.3013249505868694,1.377079870885798,0.09420618144131089,1
NON_WEATHER_EX_ELECTION,15,71061,19712917,1210719,7847,1650541,0.11042625350051365,0.08372890729464341,0.17037742221471694,-0.05995116871421055,-0.0874589412617123,2386,5303,456,51.28048298201389,2.6834487113019967,3.938611210443213,2.886427197521401,0.11757820956504851,1
NON_WEATHER_EX_ELECTION,20,68546,16815118,1506773,10505,2127271,0.1532547486359525,0.12650943038282575,0.21981924547019518,-0.06656449683424982,-0.09289094075938108,2306,4919,454,43.000807675549815,3.3853322117490077,4.399119256477356,3.3558081504499717,0.13751936086265518,0
NON_WEATHER_EX_ELECTION,25,78658,17931951,2124224,16153,3018419,0.20535736987973252,0.16832630202926607,0.2700582267537949,-0.06470085687405165,-0.1022277553624841,2181,4594,455,45.78588759617704,4.612237007626567,5.590156376529314,4.175245870948015,0.1441025984825788,0
NON_WEATHER_EX_ELECTION,30,86996,20489921,2786849,27330,5861238,0.3141523748218309,0.2860546900107619,0.32034219964136285,-0.006189824819521473,-0.03505758172518088,2090,4414,452,26.418150422438508,9.656806498236373,11.563384444699235,9.464552330051463,0.1567755475053267,0
NON_WEATHER_EX_ELECTION,35,83038,18824452,3072914,25187,4658827,0.30331896240275535,0.24748805436673535,0.37006117681061684,-0.06674221440786192,-0.1220395031950994,2035,4114,459,22.995667030374314,8.0010672747937,8.720617069468496,7.869197092887305,0.15986235145758002,0
NON_WEATHER_EX_ELECTION,40,80001,18355876,3360794,29483,6098532,0.36853289333883327,0.33223867931990825,0.4200939988250147,-0.05156110548618911,-0.08786057064233697,2009,4036,460,25.062154845730493,6.47965680281852,7.168279893602639,7.142665184383841,0.17040536927973912,0
NON_WEATHER_EX_ELECTION,45,91172,23157267,4287294,39237,9487046,0.43036239196244463,0.40967900054872625,0.47024239898214365,-0.03988000701971198,-0.060814990387250356,1992,4005,452,13.113815541563119,10.065037524503083,10.722430439284876,10.318389109755644,0.1628004395108186,0
NON_WEATHER_EX_ELECTION,50,69803,17327182,3623938,36504,8437876,0.5229574660114895,0.48697335781432893,0.5191665114679885,0.003790954543505468,-0.032607264701207374,2069,4272,462,16.144368731473392,3.6330364321075113,4.50591266074844,3.375712968360536,0.18878496779779638,0
NON_WEATHER_EX_ELECTION,55,73989,18412561,4216287,44242,11002867,0.5979537498817392,0.5975739605153243,0.5698532214248064,0.028100528456932696,0.027765303262267577,2011,4235,457,25.02930568784953,6.779782233134574,8.15884674331217,7.283435431207602,0.18051077271099172,0
NON_WEATHER_EX_ELECTION,60,71789,16730074,4460046,46097,11008277,0.6421178732117734,0.6579933238789022,0.6212715039908621,0.020846369220910963,0.03710822438681228,2098,4421,455,20.232054182199263,8.297175461865494,9.799564438611688,8.483525093138415,0.1785003716648557,0
NON_WEATHER_EX_ELECTION,65,66374,14536709,4452789,44591,10394825,0.6718142646216892,0.7150741615588507,0.6708634405038117,0.0009508241178829364,0.04313101197802123,2157,4581,460,40.407110295924255,6.270467973494149,7.753368419411302,5.612129512120178,0.1820026627625957,0
