report_ticker,is_sports,days_active,trades,contracts,yes_side_notional_volume,fees
KXNJDRONES,FALSE,65,176,7746,929.3,55.27
KXCLUBWCGF,TRUE,7,196,7739,3137.63,79.07
KXGRAMBRRMA,FALSE,11,67,7738,2307.05,51.88
KXTRUFCPI,FALSE,15,344,7737,5180.46,31.08
KXSEC230,FALSE,56,114,7728,1563.18,70.57
KXCANPPCSEATS,FALSE,9,34,7725,3218.89,18.24
KXMANAGERSOUT,FALSE,1,81,7716,5677.7,56.75
SENATEND,FALSE,45,135,7702,1892.09,40.35
KXTWITCHSUBSNINJA,FALSE,48,91,7690,1576.79,84.93
KXO3RELEASE,FALSE,10,69,7674,393.99,26.05
KXVMAHIPHOP,FALSE,16,145,7669,2463.07,44.85
KXUSHOMEVAL,FALSE,29,231,7666,3971.98,93.88
JEFFERSON,FALSE,17,134,7661,5519.77,80.08
KXIMOCOUNTRY,TRUE,26,154,7653,4844.09,91.51
KX1SONGEDSHEERAN,FALSE,64,233,7648,1446.18,70.33
MCSILENTHILL2,FALSE,27,82,7634,4425.55,76.35
KXAWARDSCMAVGOTY,FALSE,22,152,7634,2810.97,87.43
KXNFLEXACTWINSLAC,TRUE,42,176,7621,1701.32,74.48
KXOAIDAMAGE,FALSE,103,269,7613,5007.09,118.45
SEC230,FALSE,26,44,7604,433.08,27.3
HOUSEOH1,FALSE,41,118,7597,3756.19,108.05
KXFAOFPI,FALSE,14,79,7586,4315.83,52.08
KXMOLDOVACOALITION,FALSE,14,70,7584,4736.71,69.97
KXTOPALBUMBYDOJACAT,FALSE,43,194,7580,1153.52,63.1
KXDUTERTEOUT,FALSE,7,74,7565,3881.96,130.73
KXTRUMPSETTLECBS,FALSE,54,191,7562,6212.4,72.56
KXANIMEBR,FALSE,34,134,7555,1800.21,46.78
KXOPECCUTS,FALSE,57,136,7539,1789.46,84.22
KXFDVRAINBOW,FALSE,50,241,7529,631.96,40.95
KXCLUBWCGC,TRUE,7,154,7528,4822,70.72
KXTOPSONGRECORDLORDE,FALSE,38,148,7508,402.95,21.78
KXGRAMBCCMPS,FALSE,28,116,7504,2137.91,47.33
KXHOUSEUT01,FALSE,51,116,7503,3966.75,61.12
